bin,T_left,T_right,data,RvM,expected_int,diff,status
1,0.1,1.1899195403442933,0,-0.42269789068964325,0,0,OK
2,1.1899195403442933,2.2798390806885864,0,-0.2261816435499271,0,0,OK
3,2.2798390806885864,3.3697586210328794,0,-0.1397639527765031,0,0,OK
4,3.36975862103288,4.459678161377173,0,-0.08263619379657416,0,0,OK
5,4.459678161377172,5.549597701721465,0,-0.039809646065347315,0,0,OK
6,5.549597701721465,6.639517242065758,0,-0.005519118269930012,0,0,OK
7,6.639517242065759,7.729436782410052,0,0.023085745893791643,0,0,OK
8,7.729436782410052,8.819356322754345,0,0.04762772199523857,0,0,OK
9,8.819356322754345,9.909275863098639,0,0.0691200262531878,0,0,OK
10,9.909275863098639,10.999195403442933,0,0.0882381879516475,0,0,OK
11,10.999195403442931,12.089114943787225,0,0.10545532890711917,0,0,OK
12,12.089114943787225,13.179034484131519,0,0.12111578365734954,0,0,OK
13,13.179034484131519,14.268954024475812,1,0.13547800273965005,0,1,MISMATCH
14,14.26895402447581,15.358873564820104,0,0.14874094775755675,0,0,OK
15,15.358873564820104,16.4487931051644,0,0.16106106189916725,0,0,OK
16,16.4487931051644,17.538712645508692,0,0.1725635876443481,0,0,OK
17,17.538712645508692,18.628632185852986,0,0.18335035141510359,0,0,OK
18,18.628632185852986,19.71855172619728,0,0.19350526160535209,0,0,OK
19,19.71855172619728,20.808471266541574,0,0.20309828164731725,0,0,OK
20,20.80847126654157,21.898390806885864,1,0.2121883592248195,0,1,MISMATCH
21,21.898390806885864,22.988310347230158,0,0.22082562443749953,0,0,OK
22,22.988310347230158,24.07822988757445,0,0.22905306552464344,0,0,OK
23,24.07822988757445,25.168149427918745,1,0.23690782443872438,0,1,MISMATCH
24,25.168149427918745,26.25806896826304,0,0.24442221129592134,0,0,OK
25,26.25806896826304,27.347988508607333,0,0.2516245078793373,0,0,OK
26,27.34798850860733,28.437908048951623,0,0.2585396107444762,0,0,OK
27,28.437908048951623,29.527827589295917,0,0.2651895508837807,0,0,OK
28,29.527827589295917,30.61774712964021,1,0.27159391733799154,0,1,MISMATCH
29,30.61774712964021,31.707666669984505,0,0.27777020530413843,0,0,OK
30,31.707666669984505,32.797586210328795,0,0.2837341043364079,0,0,OK
31,32.797586210328795,33.887505750673085,1,0.28949973860202505,0,1,MISMATCH
32,33.88750575067309,34.97742529101738,0,0.2950798684568188,0,0,OK
33,34.97742529101738,36.06734483136167,0,0.3004860605814681,0,0,OK
34,36.06734483136167,37.15726437170596,0,0.30572883238545767,0,0,OK
35,37.15726437170597,38.24718391205026,1,0.31081777521261067,0,1,MISMATCH
36,38.24718391205026,39.33710345239455,0,0.31576165997637595,0,0,OK
37,39.33710345239456,40.42702299273885,0,0.32056852814880266,0,0,OK
38,40.42702299273885,41.51694253308314,1,0.3252457704744751,0,1,MISMATCH
39,41.51694253308314,42.60686207342743,0,0.3298001953446832,0,0,OK
40,42.606862073427436,43.696781613771726,1,0.3342380884200882,0,1,MISMATCH
41,43.696781613771726,44.78670115411602,0,0.33856526481269267,0,0,OK
42,44.786701154116024,45.876620694460314,0,0.34278711491434244,0,0,OK
43,45.876620694460314,46.966540234804604,0,0.3469086447780434,0,0,OK
44,46.966540234804604,48.056459775148895,1,0.35093451181111845,0,1,MISMATCH
45,48.0564597751489,49.14637931549319,0,0.35486905641853994,0,0,OK
46,49.14637931549319,50.23629885583748,1,0.35871633013568527,0,1,MISMATCH
47,50.23629885583749,51.32621839618178,0,0.36248012070768354,0,0,OK
48,51.32621839618178,52.41613793652607,0,0.3661639745047651,0,0,OK
49,52.41613793652608,53.50605747687037,1,0.3697712166059617,0,1,MISMATCH
50,53.50605747687037,54.59597701721466,0,0.37330496883649644,0,0,OK
51,54.59597701721466,55.68589655755895,0,0.37676816600390595,0,0,OK
52,55.685896557558955,56.775816097903245,1,0.3801635705446085,0,1,MISMATCH
53,56.775816097903245,57.865735638247536,0,0.38349378576413073,0,0,OK
54,57.86573563824754,58.95565517859183,0,0.38676126782988973,0,0,OK
55,58.95565517859183,60.04557471893612,1,0.3899683366550608,0,1,MISMATCH
56,60.04557471893612,61.135494259280414,1,0.39311718579431343,0,1,MISMATCH
57,61.13549425928042,62.22541379962471,0,0.39620989145707597,0,0,OK
58,62.22541379962471,63.315333339969,0,0.3992484207313147,0,0,OK
59,63.31533333996901,64.4052528803133,0,0.40223463909911317,0,0,OK
60,64.40525288031328,65.49517242065758,1,0.40517031731627995,0,1,MISMATCH
61,65.49517242065758,66.58509196100188,0,0.40805713771924523,0,0,OK
62,66.58509196100188,67.67501150134618,1,0.41089670001570155,0,1,MISMATCH
63,67.67501150134618,68.76493104169047,0,0.4136905266088249,0,0,OK
64,68.76493104169046,69.85485058203476,1,0.41644006749936935,0,1,MISMATCH
65,69.85485058203476,70.94477012237905,0,0.419146704805339,0,0,OK
66,70.94477012237905,72.03468966272335,1,0.42181175693432493,0,1,MISMATCH
67,72.03468966272334,73.12460920306764,0,0.424436482440143,0,0,OK
68,73.12460920306764,74.21452874341193,0,0.4270220835919787,0,0,OK
69,74.21452874341193,75.30444828375623,0,0.4295697096814166,0,0,OK
70,75.30444828375623,76.39436782410053,1,0.43208046009006296,0,1,MISMATCH
71,76.39436782410051,77.48428736444481,1,0.43455538713833164,0,1,MISMATCH
72,77.48428736444481,78.57420690478911,0,0.4369954987337721,0,0,OK
73,78.57420690478911,79.6641264451334,1,0.4394017608357501,0,1,MISMATCH
74,79.66412644513339,80.75404598547769,0,0.4417750997514496,0,0,OK
75,80.75404598547769,81.84396552582199,0,0.44411640427689747,0,0,OK
76,81.84396552582199,82.93388506616628,1,0.44642652769546487,0,1,MISMATCH
