bin_idx,L,R,data_count,RvM_bin,diff,status
33,800.0600000000001,825.05875,0,17.06548706810287,-17.06548706810287,MISMATCH
34,825.05875,850.0575,0,18.05342850142125,-18.05342850142125,MISMATCH
35,850.0575,875.05625,0,19.138847445119495,-19.138847445119495,MISMATCH
36,875.0562500000001,900.0550000000001,0,18.030355525783307,-18.030355525783307,MISMATCH
37,900.0550000000001,925.05375,0,18.0193022315774,-18.0193022315774,MISMATCH
38,925.05375,950.0525,0,19.524259718044163,-19.524259718044163,MISMATCH
39,950.0525000000001,975.0512500000001,0,18.998076434288805,-18.998076434288805,MISMATCH
40,975.0512500000001,1000.0500000000001,0,17.98787366798888,-17.98787366798888,MISMATCH
41,1000.0500000000001,1025.0487500000002,0,19.855426804561034,-19.855426804561034,MISMATCH
42,1025.04875,1050.0475,0,17.968221115311167,-17.968221115311167,MISMATCH
43,1050.0475,1075.0462499999999,0,17.95874731510912,-17.95874731510912,MISMATCH
44,1075.0462499999999,1100.0449999999998,0,20.06284671337312,-20.06284671337312,MISMATCH
45,1100.045,1125.04375,0,17.940450819614057,-17.940450819614057,MISMATCH
46,1125.04375,1150.0425,0,17.931608750589476,-17.931608750589476,MISMATCH
47,1150.0425,1175.04125,0,17.92295894078927,-17.92295894078927,MISMATCH
48,1175.04125,1200.04,0,18.914493206140037,-18.914493206140037,MISMATCH
49,1200.04,1225.03875,0,18.906203874313746,-18.906203874313746,MISMATCH
50,1225.03875,1250.0375,0,18.89808374293034,-18.89808374293034,MISMATCH
51,1250.0375,1275.0362499999999,0,18.890126041939425,-18.890126041939425,MISMATCH
52,1275.0362499999999,1300.0349999999999,0,18.882324399693175,-18.882324399693175,MISMATCH
53,1300.0349999999999,1325.0337499999998,0,23.37990277893732,-23.37990277893732,MISMATCH
54,1325.03375,1350.0325,0,19.867165615780664,-19.867165615780664,MISMATCH
55,1350.0325,1375.03125,0,18.8597974610243,-18.8597974610243,MISMATCH
56,1375.03125,1400.03,0,19.852563290733087,-19.852563290733087,MISMATCH
57,1400.03,1425.02875,0,18.84545831864216,-18.84545831864216,MISMATCH
58,1425.02875,1450.0275,0,19.83847801047648,-19.83847801047648,MISMATCH
59,1450.0275,1475.02625,0,19.83161806656392,-19.83161806656392,MISMATCH
60,1475.02625,1500.0249999999999,0,23.131181838353086,-23.131181838353086,MISMATCH
61,1500.025,1525.02375,0,19.818243151693196,-19.818243151693196,MISMATCH
62,1525.02375,1550.0225,0,19.811720617712126,-19.811720617712126,MISMATCH
63,1550.0225,1575.02125,0,19.805303296239572,-19.805303296239572,MISMATCH
64,1575.02125,1600.02,0,19.798987846612135,-19.798987846612135,MISMATCH
65,1600.02,1625.01875,0,20.792771084797323,-20.792771084797323,MISMATCH
66,1625.01875,1650.0175,0,20.78664997375381,-20.78664997375381,MISMATCH
67,1650.0175,1675.01625,0,20.78062161452044,-20.78062161452044,MISMATCH
68,1675.01625,1700.0149999999999,0,19.774683237967565,-19.774683237967565,MISMATCH
69,1700.0149999999999,1725.0137499999998,0,21.697630782639862,-21.697630782639862,MISMATCH
70,1725.01375,1750.0125,0,19.763065960273025,-19.763065960273025,MISMATCH
71,1750.0125,1775.01125,0,20.757382104006183,-20.757382104006183,MISMATCH
72,1775.01125,1800.01,0,19.751778307475206,-19.751778307475206,MISMATCH
73,1800.01,1825.00875,0,19.746252346516712,-19.746252346516712,MISMATCH
74,1825.00875,1850.0075,0,20.740802088388136,-20.740802088388136,MISMATCH
75,1850.0075,1875.00625,0,19.735425486825534,-19.735425486825534,MISMATCH
76,1875.00625,1900.0049999999999,0,23.411031996779002,-23.411031996779002,MISMATCH
77,1900.005,1925.00375,0,20.72488547334933,-20.72488547334933,MISMATCH
78,1925.00375,1950.0025,0,20.71971836127227,-20.71971836127227,MISMATCH
79,1950.0025,1975.00125,0,20.714617497629888,-20.714617497629888,MISMATCH
80,1975.00125,2000.0,0,20.70958120507794,-20.70958120507794,MISMATCH

TOTAL,0.1,2000.0,0,1515.1221465428416,-1515.1221465428416,MISMATCH
